index,mode,corner_index,lap_distance,ref_distance,delta,advice
0,brake,0,204.90740364822443,241.37377213489157,-36.466368486667136,Brake 36.5m later
1,brake,2,1957.779934495088,1959.4235506034256,-1.64361610833771,Brake 1.6m later
2,brake,7,3394.8116498526256,3392.57902850539,2.2326213472356358,Brake 2.2m earlier
3,throttle,0,1697.5778507024484,1664.6236367200008,32.95421398244753,Throttle 33.0m earlier
4,throttle,2,2566.044711753472,2559.6634171812975,6.3812945721742835,Throttle 6.4m earlier
5,throttle,3,3209.917820891937,3186.6296588299865,23.288162061950516,Throttle 23.3m earlier
